# Engine-state Press Start frame (not a screenshot).
# After Bootstrap + skip AVI + one frontend Pump.
# viewport=1024x768 widgets=62 batchDraws=223
#
# name type parent visible texture GraphicId X Y W H destX0 destY0 destX1 destY1 U0 V0 U1 V1 colour text textTag glyphs order flags
UI_FRONTEND_PRESS_START_MENU 10 - 1 - 0 0 0 0 0 0 0 0 0 0 0 0 0 00FFFFFF - - 0 0 offscreen,zero-size
UI_BLENDING_BACKGROUNDS_FORREST 5 UI_FRONTEND_PRESS_START_MENU 1 - 0 0 0 0 0 0 0 0 0 0 0 0 0 FFFFFFFF - - 0 1 offscreen,zero-size
UI_SWAPPING_FORREST_SUNBEAM 18 UI_BLENDING_BACKGROUNDS_FORREST 1 - 0 0 0 0 0 0 0 0 0 0 0 0 0 FFFFFFFF - - 0 2 offscreen,zero-size
BLENDING_BG_FORREST_SUNBEAM_1 5 UI_SWAPPING_FORREST_SUNBEAM 1 - 0 0 0 0 0 0 0 0 0 0 0 0 0 FFFFFFFF - - 0 3 offscreen,zero-size
UI_FRONTEND_BG_FORREST_SUNBEAM_1_1 0 BLENDING_BG_FORREST_SUNBEAM_1 1 FORREST_SUNBEAM_1_1 230 0 0 0 0 0 0 410 410 0 0 1 1 FFFFFFFF - - 0 4 -
UI_FRONTEND_BG_FORREST_SUNBEAM_1_2 0 BLENDING_BG_FORREST_SUNBEAM_1 1 FORREST_SUNBEAM_1_2 231 256 0 0 0 410 0 819 410 0 0 1 1 FFFFFFFF - - 0 5 -
UI_FRONTEND_BG_FORREST_SUNBEAM_1_3 0 BLENDING_BG_FORREST_SUNBEAM_1 1 FORREST_SUNBEAM_1_3 232 512 0 0 0 819 0 1024 410 0 0 1 1 FFFFFFFF - - 0 6 -
UI_FRONTEND_BG_FORREST_SUNBEAM_1_4 0 BLENDING_BG_FORREST_SUNBEAM_1 1 FORREST_SUNBEAM_1_4 233 0 256 0 0 0 410 410 819 0 0 1 1 FFFFFFFF - - 0 7 -
UI_FRONTEND_BG_FORREST_SUNBEAM_1_5 0 BLENDING_BG_FORREST_SUNBEAM_1 1 FORREST_SUNBEAM_1_5 234 256 256 0 0 410 410 819 819 0 0 1 1 FFFFFFFF - - 0 8 -
UI_FRONTEND_BG_FORREST_SUNBEAM_1_6 0 BLENDING_BG_FORREST_SUNBEAM_1 1 FORREST_SUNBEAM_1_6 235 512 256 0 0 819 410 1024 819 0 0 1 1 FFFFFFFF - - 0 9 -
BLENDING_BG_FORREST_SUNBEAM_2 5 UI_SWAPPING_FORREST_SUNBEAM 1 - 0 0 0 0 0 0 0 0 0 0 0 0 0 00FFFFFF - - 0 10 offscreen,zero-size
UI_FRONTEND_BG_FORREST_SUNBEAM_2_1 0 BLENDING_BG_FORREST_SUNBEAM_2 1 FORREST_SUNBEAM_2_1 236 0 0 0 0 0 0 410 410 0 0 1 1 FFFFFFFF - - 0 11 -
UI_FRONTEND_BG_FORREST_SUNBEAM_2_2 0 BLENDING_BG_FORREST_SUNBEAM_2 1 FORREST_SUNBEAM_2_2 237 256 0 0 0 410 0 819 410 0 0 1 1 FFFFFFFF - - 0 12 -
UI_FRONTEND_BG_FORREST_SUNBEAM_2_3 0 BLENDING_BG_FORREST_SUNBEAM_2 1 FORREST_SUNBEAM_2_3 238 512 0 0 0 819 0 1024 410 0 0 1 1 FFFFFFFF - - 0 13 -
UI_FRONTEND_BG_FORREST_SUNBEAM_2_4 0 BLENDING_BG_FORREST_SUNBEAM_2 1 FORREST_SUNBEAM_2_4 239 0 256 0 0 0 410 410 819 0 0 1 1 FFFFFFFF - - 0 14 -
UI_FRONTEND_BG_FORREST_SUNBEAM_2_5 0 BLENDING_BG_FORREST_SUNBEAM_2 1 FORREST_SUNBEAM_2_5 240 256 256 0 0 410 410 819 819 0 0 1 1 FFFFFFFF - - 0 15 -
UI_FRONTEND_BG_FORREST_SUNBEAM_2_6 0 BLENDING_BG_FORREST_SUNBEAM_2 1 FORREST_SUNBEAM_2_6 241 512 256 0 0 819 410 1024 819 0 0 1 1 FFFFFFFF - - 0 16 -
BLENDING_BG_FORREST_SUNBEAM_3 5 UI_SWAPPING_FORREST_SUNBEAM 1 - 0 0 0 0 0 0 0 0 0 0 0 0 0 00FFFFFF - - 0 17 offscreen,zero-size
UI_FRONTEND_BG_FORREST_SUNBEAM_3_1 0 BLENDING_BG_FORREST_SUNBEAM_3 1 FORREST_SUNBEAM_3_1 242 0 0 0 0 0 0 410 410 0 0 1 1 FFFFFFFF - - 0 18 -
